Equipo,Nombre,Probabilidad
Alavés,Antonio Blanco,90%
Alavés,Nahuel Tenaglia,95%
Alavés,Facundo Garcés,95%
Alavés,Moussa Diarra,50%
Alavés,Jonny Castro,80%
Alavés,Pablo Ibáñez,60%
Alavés,Antonio Sivera,95%
Alavés,Carlos Vicente,95%
Alavés,Carles Aleñá,70%
Alavés,Mariano Díaz,50%
Alavés,Jon Guridi,80%
Alavés,Youssef Enríquez,40%
Alavés,Ander Guevara,40%
Alavés,Toni Martinez,40%
Alavés,Calebe Gonçalves,35%
Alavés,Victor Parada,30%
Alavés,Carlos Benavidez,30%
Alavés,Abde Rebbach,10%
Alavés,Nikola Maras,5%
Alavés,Hugo Novoa,5%
Alavés,Raúl Fernández,5%
Athletic Club,Maroan Sannadi,50%
Athletic Club,Iñaki Williams,95%
Athletic Club,Nico Williams,90%
Athletic Club,Álex Berenguer,80%
Athletic Club,Íñigo Ruiz de Galarreta,80%
Athletic Club,Mikel Jauregizar,80%
Athletic Club,Aitor Paredes,50%
Athletic Club,Dani Vivian,95%
Athletic Club,Yuri Berchiche,90%
Athletic Club,Jesús Areso,70%
Athletic Club,Unai Simón,95%
Athletic Club,Gorka Guruzeta,50%
Athletic Club,Mikel Vesga,40%
Athletic Club,Robert Navarro,35%
Athletic Club,Adama Boiro,35%
Athletic Club,Andoni Gorosabel,30%
Athletic Club,Íñigo Lekue,30%
Athletic Club,Alex Padilla,5%
Athletic Club,Urko Izeta,0%
Athletic Club,Nico Serrano,0%
Athletic Club,Malcom Adu Ares,0%
Athletic Club,Unai Vencedor,0%
Athletic Club,Oihan Sancet,0%
Athletic Club,Unai Gómez,0%
Athletic Club,Beñat Prados,0%
Athletic Club,Unai Egiluz,0%
Athletic Club,Yeray Álvarez,0%
Atlético de Madrid,Thiago Almada,70%
Atlético de Madrid,Giuliano Simeone,80%
Atlético de Madrid,Julián Álvarez,90%
Atlético de Madrid,Álex Baena,90%
Atlético de Madrid,Jan Oblak,95%
Atlético de Madrid,Conor Gallagher,50%
Atlético de Madrid,Matteo Ruggeri,70%
Atlético de Madrid,Robin Le Normand,80%
Atlético de Madrid,David Hancko,70%
Atlético de Madrid,Marcos Llorente,90%
Atlético de Madrid,Koke Resurrección,50%
Atlético de Madrid,Pablo Barrios,50%
Atlético de Madrid,Johnny Cardoso,50%
Atlético de Madrid,Clément Lenglet,30%
Atlético de Madrid,Alexander Sorloth,30%
Atlético de Madrid,Antoine Griezmann,30%
Atlético de Madrid,Javi Galán,30%
Atlético de Madrid,Marc Pubill,20%
Atlético de Madrid,Giacomo Raspadori,10%
Atlético de Madrid,Nahuel Molina,10%
Atlético de Madrid,Juan Musso,5%
Atlético de Madrid,Carlos Martín,0%
Atlético de Madrid,José María Giménez,0%
Barcelona,Joan Garcia,90%
Barcelona,Raphinha,90%
Barcelona,Lamine Yamal,95%
Barcelona,Fermín López,50%
Barcelona,Frenkie de Jong,70%
Barcelona,Alejandro Balde,70%
Barcelona,Ronald Araújo,60%
Barcelona,Pau Cubarsí,80%
Barcelona,Jules Koundé,60%
Barcelona,Ferrán Torres,70%
Barcelona,Pedri González,95%
Barcelona,Dani Olmo,50%
Barcelona,Eric García,30%
Barcelona,Pablo Gavi,30%
Barcelona,Gerard Martín,30%
Barcelona,Andreas Christensen,30%
Barcelona,Marc Casadó,15%
Barcelona,Roony Bardghji,5%
Barcelona,Marc Bernal,0%
Barcelona,Héctor Fort,0%
Barcelona,Iñaki Peña,0%
Barcelona,Marcus Rashford,30%
Barcelona,Wojciech Szczesny,10%
Barcelona,Oriol Romeu,0%
Barcelona,Robert Lewandowski,0%
Barcelona,Marc-André ter Stegen,0%
Betis,Cucho Hernández,90%
Betis,Pau López,50%
Betis,Natan,90%
Betis,Junior Firpo,50%
Betis,Héctor Bellerín,50%
Betis,Marc Bartra,90%
Betis,Giovani Lo Celso,90%
Betis,Pablo García,70%
Betis,Sergi Altimira,70%
Betis,Pablo Fornals,80%
Betis,Rodrigo Riquelme,80%
Betis,Álvaro Valles,50%
Betis,Ricardo Rodriguez,50%
Betis,Aitor Ruibal,50%
Betis,Nelson Deossa,30%
Betis,Chimy Ávila,30%
Betis,Ángel Ortiz,30%
Betis,Valentín Gómez,20%
Betis,Cédric Bakambu,10%
Betis,Adrián San Miguel,0%
Betis,Isco Alarcón,0%
Betis,Abde Ezzalzouli,0%
Betis,Iker Losada,0%
Betis,Marc Roca,0%
Betis,Diego Javier Llorente,0%
Celta,Ferran Jutglà,70%
Celta,Óscar Mingueza,80%
Celta,Javi Rodríguez,60%
Celta,Carl Starfelt,70%
Celta,Marcos Alonso,90%
Celta,Sergio Carreira,60%
