Mi_nombre,Nombre_web,Equipo,Probabilidad,Posicion,Precio,Probabilidad_num
Luiz Junior,Luiz Junior,Villarreal,80%,POR,6284379,80.0
José Gayà,José Gayà,Valencia,95%,DEF,13339717,95.0
Yuri Berchiche,Yuri Berchiche,Athletic Club,90%,DEF,10367480,90.0
Jonny Castro,Jonny Castro,Alavés,80%,DEF,2741063,80.0
Andrei Ratiu,Andrei Ratiu,Rayo Vallecano,50%,DEF,14223313,50.0
Álex Baena,Álex Baena,Atlético de Madrid,90%,CEN,79668076,90.0
Edu Expósito,Edu Expósito,Espanyol,80%,CEN,3526023,80.0
Pablo Torre,Pablo Torre,Mallorca,70%,CEN,9643762,70.0
Carlos Vicente,Carlos Vicente,Alavés,95%,DEL,17846040,95.0
Nicolas Pépé,Nicolas Pépé,Villarreal,80%,DEL,12532353,80.0
Ferrán Torres,Ferrán Torres,Barcelona,70%,DEL,19116982,70.0
